Nx = 31
Nt = 750
n/j; 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 
54(2.16); 24.2527; 24.2527; 24.1308; 23.89; 23.5358; 23.0762; 22.5207; 21.8802; 21.1662; 20.3901; 19.5632; 18.6958; 17.7975; 16.8769; 15.9419; 15; 14.0581; 13.1231; 12.2025; 11.3042; 10.4368; 9.60986; 8.83383; 8.11982; 7.47934; 6.92384; 6.46416; 6.10998; 5.86918; 5.74733; 5.74733; 
55(2.2); 24.2044; 24.2044; 24.0837; 23.845; 23.4939; 23.038; 22.4868; 21.8508; 21.1413; 20.3697; 19.5469; 18.6833; 17.7884; 16.871; 15.9391; 15; 14.0609; 13.129; 12.2116; 11.3167; 10.4531; 9.63032; 8.85869; 8.14922; 7.51323; 6.96198; 6.50608; 6.15497; 5.91634; 5.79562; 5.79562; 
56(2.24); 24.1565; 24.1565; 24.0369; 23.8004; 23.4523; 23.0001; 22.453; 21.8214; 21.1164; 20.3491; 19.5304; 18.6707; 17.7793; 16.8651; 15.9362; 15; 14.0638; 13.1349; 12.2207; 11.3293; 10.4696; 9.65088; 8.8836; 8.17859; 7.54703; 6.99993; 6.54772; 6.19961; 5.9631; 5.84347; 5.84347; 
57(2.28); 24.1091; 24.1091; 23.9905; 23.7561; 23.4109; 22.9623; 22.4193; 21.7921; 21.0915; 20.3285; 19.5139; 18.6579; 17.7701; 16.8591; 15.9333; 15; 14.0667; 13.1409; 12.2299; 11.3421; 10.4861; 9.67152; 8.90855; 8.20794; 7.58071; 7.0377; 6.58909; 6.2439; 6.00945; 5.89089; 5.89089; 
58(2.32); 24.0621; 24.0621; 23.9446; 23.7121; 23.3698; 22.9247; 22.3857; 21.7627; 21.0665; 20.3078; 19.4972; 18.6451; 17.7607; 16.8531; 15.9303; 15; 14.0697; 13.1469; 12.2393; 11.3549; 10.5028; 9.69225; 8.93353; 8.23726; 7.61429; 7.07527; 6.63019; 6.28786; 6.05542; 5.9379; 5.9379; 
59(2.36); 24.0155; 24.0155; 23.899; 23.6685; 23.329; 22.8873; 22.3522; 21.7335; 21.0415; 20.287; 19.4805; 18.6321; 17.7513; 16.8469; 15.9272; 15; 14.0728; 13.1531; 12.2487; 11.3679; 10.5195; 9.71304; 8.95853; 8.26654; 7.64776; 7.11266; 6.67103; 6.33149; 6.10101; 5.9845; 5.9845; 
60(2.4); 23.9693; 23.9693; 23.8538; 23.6252; 23.2884; 22.8501; 22.3189; 21.7042; 21.0164; 20.2661; 19.4636; 18.619; 17.7418; 16.8407; 15.9242; 15; 14.0758; 13.1593; 12.2582; 11.381; 10.5364; 9.7339; 8.98356; 8.29579; 7.68112; 7.14986; 6.7116; 6.37479; 6.14623; 6.03071; 6.03071; 
61(2.44); 23.9235; 23.9235; 23.8089; 23.5822; 23.2481; 22.8131; 22.2856; 21.675; 20.9914; 20.2452; 19.4467; 18.6059; 17.7322; 16.8345; 15.9211; 15; 14.0789; 13.1655; 12.2678; 11.3941; 10.5533; 9.75481; 9.0086; 8.32499; 7.71437; 7.18688; 6.75192; 6.41777; 6.19108; 6.07653; 6.07653; 
62(2.48); 23.878; 23.878; 23.7644; 23.5396; 23.208; 22.7763; 22.2525; 21.6459; 20.9664; 20.2242; 19.4297; 18.5926; 17.7225; 16.8282; 15.918; 15; 14.082; 13.1718; 12.2775; 11.4074; 10.5703; 9.77577; 9.03365; 8.35414; 7.74751; 7.22371; 6.79199; 6.46045; 6.23558; 6.12197; 6.12197; 
63(2.52); 23.833; 23.833; 23.7203; 23.4972; 23.1682; 22.7396; 22.2195; 21.6168; 20.9413; 20.2032; 19.4126; 18.5793; 17.7127; 16.8218; 15.9148; 15; 14.0852; 13.1782; 12.2873; 11.4207; 10.5874; 9.79678; 9.0587; 8.38324; 7.78052; 7.26036; 6.83181; 6.50281; 6.27974; 6.16705; 6.16705; 
64(2.56); 23.7882; 23.7882; 23.6764; 23.4551; 23.1286; 22.7032; 22.1866; 21.5877; 20.9163; 20.1822; 19.3955; 18.5659; 17.7029; 16.8153; 15.9116; 15; 14.0884; 13.1847; 12.2971; 11.4341; 10.6045; 9.81782; 9.08374; 8.41228; 7.81343; 7.29682; 6.87139; 6.54488; 6.32355; 6.21177; 6.21177; 
65(2.6); 23.7439; 23.7439; 23.633; 23.4133; 23.0893; 22.6669; 22.1538; 21.5587; 20.8912; 20.1611; 19.3783; 18.5525; 17.693; 16.8088; 15.9084; 15; 14.0916; 13.1912; 12.307; 11.4475; 10.6217; 9.8389; 9.10878; 8.44126; 7.84621; 7.33311; 6.91072; 6.58666; 6.36704; 6.25613; 6.25613; 
66(2.64); 23.6999; 23.6999; 23.5898; 23.3719; 23.0502; 22.6308; 22.1211; 21.5298; 20.8662; 20.14; 19.361; 18.539; 17.6831; 16.8023; 15.9052; 15; 14.0948; 13.1977; 12.3169; 11.461; 10.639; 9.86001; 9.13381; 8.47019; 7.87887; 7.36921; 6.94981; 6.62815; 6.4102; 6.30015; 6.30015; 
67(2.68); 23.6562; 23.6562; 23.547; 23.3307; 23.0113; 22.5949; 22.0886; 21.501; 20.8412; 20.1189; 19.3437; 18.5254; 17.6731; 16.7957; 15.9019; 15; 14.0981; 13.2043; 12.3269; 11.4746; 10.6563; 9.88113; 9.15882; 8.49905; 7.91141; 7.40514; 6.98867; 6.66935; 6.45304; 6.34383; 6.34383; 
68(2.72); 23.6128; 23.6128; 23.5044; 23.2897; 22.9727; 22.5591; 22.0562; 21.4722; 20.8162; 20.0977; 19.3264; 18.5117; 17.663; 16.7891; 15.8987; 15; 14.1013; 13.2109; 12.337; 11.4883; 10.6736; 9.90228; 9.18382; 8.52784; 7.94383; 7.44088; 7.0273; 6.71028; 6.49557; 6.38719; 6.38719; 
69(2.76); 23.5698; 23.5698; 23.4622; 23.2491; 22.9343; 22.5235; 22.0239; 21.4434; 20.7912; 20.0766; 19.309; 18.4981; 17.6529; 16.7824; 15.8954; 15; 14.1046; 13.2176; 12.3471; 11.5019; 10.691; 9.92343; 9.20878; 8.55656; 7.97613; 7.47645; 7.06569; 6.75093; 6.53779; 6.43022; 6.43022; 
70(2.8); 23.5271; 23.5271; 23.4203; 23.2087; 22.8961; 22.4882; 21.9917; 21.4148; 20.7663; 20.0554; 19.2916; 18.4843; 17.6427; 16.7758; 15.892; 15; 14.108; 13.2242; 12.3573; 11.5157; 10.7084; 9.9446; 9.23373; 8.58521; 8.00831; 7.51184; 7.10386; 6.79131; 6.57972; 6.47293; 6.47293; 
71(2.84); 23.4847; 23.4847; 23.3787; 23.1686; 22.8582; 22.4529; 21.9596; 21.3862; 20.7414; 20.0342; 19.2742; 18.4706; 17.6325; 16.769; 15.8887; 15; 14.1113; 13.231; 12.3675; 11.5294; 10.7258; 9.96576; 9.25863; 8.61378; 8.04036; 7.54706; 7.14181; 6.83143; 6.62135; 6.51533; 6.51533; 
