Nx = 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nt = 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n/j;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30; 
81(0,81);26,2786;26,2786;26,0816;25,6994;25,1539;24,4727;23,6857;22,8211;21,9028;20,9496;19,9751;18,9883;17,9948;16,9978;15,9992;15;14,0008;13,0022;12,0052;11,0117;10,0249;9,05035;8,0972;7,17892;6,31426;5,52727;4,84609;4,30055;3,91845;3,72144;3,72144; 
82(0,82);26,2589;26,2589;26,063;25,6831;25,1403;24,4622;23,678;22,8157;21,8993;20,9475;19,9739;18,9876;17,9944;16,9977;15,9992;15;14,0008;13,0023;12,0056;11,0124;10,0261;9,05249;8,10069;7,18428;6,32203;5,53785;4,85966;4,31689;3,93696;3,74114;3,74114; 
83(0,83);26,2393;26,2393;26,0446;25,6668;25,1268;24,4516;23,6702;22,8103;21,8958;20,9453;19,9726;18,987;17,9941;16,9975;15,9991;15;14,0009;13,0025;12,0059;11,013;10,0274;9,05467;8,10423;7,1897;6,32984;5,54845;4,8732;4,33318;3,95537;3,76073;3,76073; 
84(0,84);26,2198;26,2198;26,0263;25,6506;25,1133;24,4409;23,6623;22,8048;21,8922;20,9431;19,9713;18,9862;17,9937;16,9973;15,999;15;14,001;13,0027;12,0063;11,0138;10,0287;9,05689;8,10782;7,19517;6,33768;5,55906;4,88672;4,3494;3,97369;3,78019;3,78019; 
85(0,85);26,2005;26,2005;26,0081;25,6344;25,0998;24,4303;23,6544;22,7993;21,8885;20,9408;19,97;18,9855;17,9933;16,9971;15,9989;15;14,0011;13,0029;12,0067;11,0145;10,03;9,05916;8,11146;7,20068;6,34557;5,56969;4,90022;4,36556;3,99191;3,79954;3,79954; 
86(0,86);26,1812;26,1812;25,99;25,6183;25,0863;24,4197;23,6465;22,7937;21,8848;20,9385;19,9686;18,9847;17,9929;16,9969;15,9989;15;14,0011;13,0031;12,0071;11,0153;10,0314;9,06147;8,11515;7,20625;6,35349;5,58033;4,9137;4,38166;4,01004;3,81878;3,81878; 
87(0,87);26,1621;26,1621;25,9719;25,6023;25,0728;24,409;23,6385;22,7881;21,8811;20,9362;19,9672;18,9839;17,9925;16,9967;15,9988;15;14,0012;13,0033;12,0075;11,0161;10,0328;9,06383;8,1189;7,21186;6,36145;5,59098;4,92716;4,3977;4,02807;3,8379;3,8379; 
88(0,88);26,1431;26,1431;25,954;25,5863;25,0594;24,3984;23,6306;22,7825;21,8773;20,9338;19,9658;18,9831;17,9921;16,9965;15,9987;15;14,0013;13,0035;12,0079;11,0169;10,0342;9,06623;8,12269;7,21753;6,36945;5,60165;4,9406;4,41369;4,04602;3,85692;3,85692; 
89(0,89);26,1242;26,1242;25,9361;25,5704;25,046;24,3877;23,6225;22,7768;21,8735;20,9313;19,9643;18,9823;17,9916;16,9963;15,9986;15;14,0014;13,0037;12,0084;11,0177;10,0357;9,06867;8,12653;7,22323;6,37748;5,61232;4,95401;4,42961;4,06387;3,87583;3,87583; 
90(0,9);26,1054;26,1054;25,9184;25,5545;25,0326;24,377;23,6145;22,771;21,8696;20,9288;19,9628;18,9814;17,9911;16,996;15,9985;15;14,0015;13,004;12,0089;11,0186;10,0372;9,07116;8,13041;7,22899;6,38554;5,62301;4,9674;4,44548;4,08164;3,89463;3,89463; 
91(0,91);26,0867;26,0867;25,9007;25,5387;25,0192;24,3663;23,6064;22,7652;21,8657;20,9263;19,9613;18,9805;17,9907;16,9958;15,9984;15;14,0016;13,0042;12,0093;11,0195;10,0387;9,07368;8,13434;7,23479;6,39363;5,6337;4,98077;4,46129;4,09933;3,91333;3,91333; 
92(0,92);26,0681;26,0681;25,8831;25,523;25,0059;24,3556;23,5982;22,7594;21,8617;20,9237;19,9597;18,9796;17,9902;16,9955;15,9983;15;14,0017;13,0045;12,0098;11,0204;10,0403;9,07625;8,13832;7,24063;6,40175;5,6444;4,99412;4,47704;4,11692;3,93193;3,93193; 
93(0,93);26,0496;26,0496;25,8656;25,5073;24,9926;24,3449;23,5901;22,7535;21,8577;20,9211;19,9581;18,9787;17,9896;16,9953;15,9982;15;14,0018;13,0047;12,0104;11,0213;10,0419;9,07886;8,14235;7,24651;6,4099;5,65511;5,00744;4,49273;4,13444;3,95043;3,95043; 
