Nx = 31
Nt = 3000
n/j; 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 
56(2.8); 23.556; 23.556; 23.4499; 23.2378; 22.9271; 22.5178; 22.0232; 21.4438; 20.7962; 20.0813; 19.3166; 18.5041; 17.6594; 16.7864; 15.8979; 15; 14.1021; 13.2136; 12.3406; 11.4959; 10.6834; 9.91866; 9.20383; 8.55618; 7.97678; 7.4822; 7.07293; 6.76216; 6.55008; 6.44401; 6.44401; 
57(2.85); 23.503; 23.503; 23.3969; 23.1885; 22.8778; 22.4751; 21.9808; 21.4097; 20.7626; 20.0564; 19.2927; 18.488; 17.6452; 16.7786; 15.8932; 15; 14.1068; 13.2214; 12.3548; 11.512; 10.7073; 9.94362; 9.23742; 8.59031; 8.01919; 7.52485; 7.12218; 6.8115; 6.60308; 6.49704; 6.49704; 
58(2.9); 23.4499; 23.4499; 23.3457; 23.1374; 22.8318; 22.4293; 21.9424; 21.3717; 20.733; 20.0276; 19.2722; 18.469; 17.6333; 16.7692; 15.8893; 15; 14.1107; 13.2308; 12.3667; 11.531; 10.7278; 9.97236; 9.26696; 8.62831; 8.05758; 7.57068; 7.16818; 6.86263; 6.65427; 6.55006; 6.55006; 
59(2.95); 23.3978; 23.3978; 23.2937; 23.0888; 22.7833; 22.3871; 21.9005; 21.3377; 20.6997; 20.0026; 19.2483; 18.4528; 17.6191; 16.7613; 15.8846; 15; 14.1154; 13.2387; 12.3809; 11.5472; 10.7517; 9.99739; 9.30034; 8.66227; 8.09949; 7.61288; 7.21666; 6.91123; 6.70635; 6.60217; 6.60217; 
60(3); 23.3457; 23.3457; 23.2433; 23.0385; 22.7379; 22.3419; 21.8624; 21.3001; 20.6702; 19.974; 19.2277; 18.4337; 17.607; 16.7519; 15.8807; 15; 14.1193; 13.2481; 12.393; 11.5663; 10.7723; 10.026; 9.32983; 8.69992; 8.13758; 7.65808; 7.26205; 6.9615; 6.7567; 6.65426; 6.65426; 
61(3.05); 23.2945; 23.2945; 23.1921; 22.9906; 22.6902; 22.3002; 21.821; 21.2663; 20.637; 19.9489; 19.2038; 18.4174; 17.5928; 16.7439; 15.8759; 15; 14.1241; 13.2561; 12.4072; 11.5826; 10.7962; 10.0511; 9.36297; 8.7337; 8.179; 7.69981; 7.30979; 7.00937; 6.80788; 6.70548; 6.70548; 
62(3.1); 23.2433; 23.2433; 23.1426; 22.9412; 22.6454; 22.2556; 21.7832; 21.229; 20.6076; 19.9204; 19.1831; 18.3983; 17.5806; 16.7344; 15.8719; 15; 14.1281; 13.2656; 12.4194; 11.6017; 10.8169; 10.0796; 9.39239; 8.77098; 8.21676; 7.74439; 7.35459; 7.05883; 6.85743; 6.75668; 6.75668; 
63(3.15); 23.1929; 23.1929; 23.0922; 22.894; 22.5984; 22.2143; 21.7423; 21.1954; 20.5747; 19.8954; 19.1594; 18.3819; 17.5663; 16.7263; 15.8672; 15; 14.1328; 13.2737; 12.4337; 11.6181; 10.8406; 10.1046; 9.42527; 8.80457; 8.25769; 7.78568; 7.40161; 7.10601; 6.90776; 6.80705; 6.80705; 
64(3.2); 23.1426; 23.1426; 23.0435; 22.8453; 22.5542; 22.1704; 21.7049; 21.1585; 20.5454; 19.8671; 19.1386; 18.3629; 17.5541; 16.7168; 15.8631; 15; 14.1369; 13.2832; 12.4459; 11.6371; 10.8614; 10.1329; 9.4546; 8.84148; 8.29512; 7.82965; 7.44584; 7.15468; 6.95653; 6.8574; 6.8574; 
65(3.25); 23.093; 23.093; 22.994; 22.7988; 22.5078; 22.1295; 21.6644; 21.1251; 20.5128; 19.842; 19.115; 18.3463; 17.5398; 16.7086; 15.8584; 15; 14.1416; 13.2914; 12.4602; 11.6537; 10.885; 10.158; 9.48721; 8.87486; 8.33556; 7.87048; 7.49217; 7.20119; 7.00604; 6.90697; 6.90697; 
66(3.3); 23.0435; 23.0435; 22.9459; 22.7509; 22.4642; 22.0861; 21.6273; 21.0886; 20.4836; 19.8139; 19.0942; 18.3274; 17.5275; 16.6991; 15.8543; 15; 14.1457; 13.3009; 12.4725; 11.6726; 10.9058; 10.1861; 9.51642; 8.91139; 8.37267; 7.91387; 7.53584; 7.24911; 7.05408; 6.95651; 6.95651; 
67(3.35); 22.9947; 22.9947; 22.8972; 22.705; 22.4185; 22.0457; 21.5874; 21.0555; 20.4512; 19.7889; 19.0706; 18.3108; 17.5132; 16.6909; 15.8495; 15; 14.1505; 13.3091; 12.4868; 11.6892; 10.9294; 10.2111; 9.54876; 8.94455; 8.41263; 7.95425; 7.58149; 7.29496; 7.10281; 7.00529; 7.00529; 
68(3.4); 22.946; 22.946; 22.8499; 22.6579; 22.3754; 22.0029; 21.5506; 21.0193; 20.4222; 19.7609; 19.0499; 18.2919; 17.5009; 16.6814; 15.8454; 15; 14.1546; 13.3186; 12.4991; 11.7081; 10.9501; 10.2391; 9.57783; 8.98069; 8.4494; 7.99706; 7.6246; 7.34215; 7.15012; 7.05405; 7.05405; 
69(3.45); 22.8979; 22.8979; 22.8019; 22.6126; 22.3304; 21.963; 21.5111; 20.9864; 20.3901; 19.736; 19.0264; 18.2754; 17.4867; 16.6732; 15.8407; 15; 14.1593; 13.3268; 12.5133; 11.7246; 10.9736; 10.264; 9.60988; 9.01362; 8.48887; 8.037; 7.6696; 7.38736; 7.1981; 7.10209; 7.10209; 
70(3.5); 22.8499; 22.8499; 22.7553; 22.5662; 22.2878; 21.9208; 21.4747; 20.9506; 20.3612; 19.7083; 19.0057; 18.2565; 17.4743; 16.6637; 15.8366; 15; 14.1634; 13.3363; 12.5257; 11.7435; 10.9943; 10.2917; 9.6388; 9.04938; 8.52531; 8.07924; 7.71218; 7.43385; 7.24472; 7.15009; 7.15009; 
71(3.55); 22.8026; 22.8026; 22.708; 22.5215; 22.2435; 21.8813; 21.4357; 20.9179; 20.3294; 19.6834; 18.9824; 18.24; 17.4601; 16.6554; 15.8318; 15; 14.1682; 13.3446; 12.5399; 11.76; 11.0176; 10.3166; 9.67055; 9.08206; 8.56431; 8.11875; 7.75654; 7.47845; 7.29197; 7.19741; 7.19741; 
72(3.6); 22.7553; 22.7553; 22.6621; 22.4757; 22.2014; 21.8396; 21.3996; 20.8826; 20.3007; 19.6559; 18.9617; 18.2213; 17.4477; 16.646; 15.8277; 15; 14.1723; 13.354; 12.5523; 11.7787; 11.0383; 10.3441; 9.69931; 9.11743; 8.6004; 8.16043; 7.7986; 7.52426; 7.33793; 7.24469; 7.24469; 
73(3.65); 22.7087; 22.7087; 22.6155; 22.4317; 22.1577; 21.8005; 21.3611; 20.8501; 20.2692; 19.6312; 18.9386; 18.2047; 17.4336; 16.6377; 15.823; 15; 14.177; 13.3623; 12.5664; 11.7953; 11.0614; 10.3688; 9.73075; 9.14985; 8.63893; 8.1995; 7.84234; 7.56827; 7.38447; 7.29131; 7.29131; 
74(3.7); 22.6621; 22.6621; 22.5702; 22.3866; 22.1161; 21.7594; 21.3253; 20.8152; 20.2407; 19.6039; 18.9179; 18.1861; 17.4212; 16.6283; 15.8188; 15; 14.1812; 13.3717; 12.5788; 11.8139; 11.0821; 10.3961; 9.75933; 9.18484; 8.67468; 8.24063; 7.88388; 7.61341; 7.42979; 7.33789; 7.33789; 
